45613 clean 208
87343 nmV,nmE,open,degen,dup,multi,unoriented,selfint 21611
178200 clean 2710
70746 open,degen,multi,selfint 2160
68370 clean 2858
105326 nmV,nmE,degen,dup,multi,unoriented,selfint 9654
45803 nmV,nmE,degen,multi,unoriented,selfint 3808
134609 open,selfint 4940
449997 nmV,nmE,degen,dup,unoriented,selfint 398
96160 multi 3168
243018 multi 176
76898 nmV,nmE,degen,unoriented,selfint 6240
1146186 clean 1954
1063856 nmV,open 28080
215386 nmV,multi,unoriented,selfint 536904
44100 clean 472
128329 degen,selfint 486
97594 selfint 1116
430857 nmV 49190
51509 multi 2944
61759 degen,multi,selfint 8392
425319 multi,selfint 8224
1036396 clean 1926
46259 nmV,nmE,degen,dup,multi,selfint 5292
60268 nmV,nmE,dup,unoriented,selfint 250
68706 selfint 67878
200075 clean 43956
53466 open,selfint 3048
225967 clean 380
100322 multi 772
63506 open,selfint 132
839694 multi 1614
77513 selfint 29062
472000 clean 15722
288350 clean 548
129789 degen,selfint 5764
73335 nmV,nmE,open,degen,unoriented 150
225354 degen,selfint 2088
472201 clean 5572
609436 selfint 25264
398303 nmV,open,selfint 100356
462526 clean 3356
1582431 clean 62
365370 multi 29948
996806 clean 5980
914684 multi 15588
87520 multi 23060
37211 nmV,nmE,degen,dup,multi,selfint 2226
472118 clean 37174
36090 clean 584
567039 clean 348
347935 selfint 7224
314588 clean 7102
1432741 clean 1064
96544 nmV,selfint 2422
101647 selfint 7916
238420 clean 12098
94677 clean 4018
1207659 clean 986
81568 degen,multi,selfint 2826
303901 clean 706
72665 clean 20220
98478 clean 63396
740393 clean 37430
97661 clean 2076
130061 nmV,nmE,dup,selfint 90414
132444 multi 64
39950 clean 4120
105171 clean 2456
215845 multi 2040
45139 nmV,nmE,dup,multi,selfint 7176
118033 nmV,open,selfint 45540
74470 multi,selfint 9876
96473 nmV,nmE,degen,dup,multi,selfint 8668
46024 nmV,open,selfint 319898
405891 degen,multi,selfint 26510
89634 clean 6632
789072 clean 36334
1018273 clean 480
1582435 clean 356
61435 degen,selfint 1044
84997 nmV,selfint 371368
96777 clean 20182
91113 nmV,multi,selfint 7318
1038433 degen,multi,selfint 324
815484 clean 679866
1179044 degen,selfint 77634
39759 open,degen,multi,selfint 3074
86648 nmV,open,multi,selfint 8604
53949 nmV,selfint 3556
44059 degen,selfint 928
375237 clean 412
108785 clean 13956
107008 nmV,open,selfint 3394
66485 clean 12156
46025 open 319200
238618 clean 1690
1146187 clean 3644
472155 clean 10424
45404 clean 5016
138092 nmV,nmE,dup,multi,selfint 7092
49208 clean 12828
1344041 clean 64
1458683 nmV,nmE,degen,unoriented,selfint 34704
80175 nmV,open,selfint 2096
122349 clean 224
375065 clean 242390
37825 nmV,nmE 162
53242 open 10164
1490842 clean 1804
77463 clean 26316
40119 clean 4288
43549 open,selfint 2780
148452 degen,multi,selfint 15172
550198 clean 29606
40017 nmV,nmE,degen,dup,multi,selfint 3530
105804 nmV,nmE,open,degen,selfint 1330
92060 nmV,nmE,degen,dup,unoriented,selfint 5214
1228197 nmV,open 826
134543 clean 4338
188500 clean 1108
50740 open,selfint 1832
56497 clean 1120
940382 clean 2016
425345 nmV,nmE,open,unoriented,selfint 71593
45009 clean 2360
488049 clean 46072
227387 clean 444
73163 clean 922
79961 clean 508
543707 open 16193
852089 open,selfint 566
636802 clean 41300
100827 nmV,open,unoriented,selfint 71
98655 open,selfint 1786
285602 nmV,nmE 28298
97162 open 550
192039 open,selfint 1096
118099 nmV,nmE,open,degen,multi,unoriented,selfint 1314
49422 nmV,nmE,degen,unoriented,selfint 700
43989 open,selfint 1450
278141 nmV,multi,unoriented,selfint 101224
346290 nmV,nmE,multi,selfint 7620
548879 open,selfint 81404
110934 nmV,nmE,degen,unoriented 11626
48352 open 9156
51472 nmV,nmE,dup,multi,unoriented,selfint 6222
92065 nmV,nmE,dup,unoriented,selfint 8007
81207 nmV,open,selfint 14764
112798 nmV,nmE,open,degen,dup,multi,selfint 1564917
80178 nmV,open,multi,selfint 2240
138093 nmV,nmE,dup,multi,selfint 7092
40009 open 4311
71162 open,multi,selfint 8188
429307 nmV,nmE,dup,selfint 24688
78220 nmV,open,selfint 19090
814663 nmV,nmE,dup,multi,selfint 2926
1013014 open,selfint 23312
67885 nmV,nmE,dup,multi,selfint 348
203290 nmV,nmE,dup,selfint 14256
1220293 selfint 50098
257589 multi 15654
140545 multi 876
59158 multi 1820
1396904 selfint 130310
62998 multi 1920
97488 multi 1736
591237 selfint 1638
95428 selfint 894
112419 selfint 213126
1312963 selfint 20028
441725 multi 50154
362398 multi 608
49528 degen,selfint 7470
132062 degen,selfint 178
69268 multi,selfint 30320
110172 clean 1028
200005 clean 1356
128558 clean 252
80363 clean 1650
63277 multi,selfint 5588
236171 degen,selfint 708
1614064 clean 2922
697207 clean 5126
68651 clean 204
90275 clean 37016
61431 clean 436
996800 nmV,multi,selfint 33180
502009 selfint 8816
472022 clean 130126
136167 degen,multi,selfint 6542
72216 selfint 1828
95431 clean 838
1582428 clean 148
472082 clean 1612
87718 degen,selfint 920
1436278 clean 18610
214482 clean 4660
110908 clean 3440
125102 selfint 75898
472095 clean 1620
627441 clean 1316
123045 clean 264
301922 selfint 4336
108313 nmV 460
129932 clean 848
779999 selfint 2644
55262 clean 1348
47565 multi,selfint 1336
110025 degen,selfint 5950
121398 clean 364
74730 clean 46632
43190 clean 15690
289671 clean 1040
100282 nmV,multi,selfint 102936
58072 clean 284
849724 selfint 1246
54215 clean 812
